"日時","貯水率","流入量","放流量"
"2024/11/06 00:00",100,1.96,3.62
"2024/11/05 23:00",100,3.62,3.63
"2024/11/05 22:00",100,3.62,3.63
"2024/11/05 21:00",100,3.62,3.63
"2024/11/05 20:00",100,3.62,3.62
"2024/11/05 19:00",100,3.62,3.62
"2024/11/05 18:00",100,3.62,3.62
"2024/11/05 17:00",100,3.62,3.63
"2024/11/05 16:00",100,3.62,3.63
"2024/11/05 15:00",100,3.62,3.62
"2024/11/05 14:00",100,3.31,3.62
"2024/11/05 13:00",100,3.7,1.21
"2024/11/05 12:00",100,3.7,1.22
"2024/11/05 11:00",100,3.37,1.2
"2024/11/05 10:00",100,4.03,1.21
"2024/11/05 09:00",100,1.21,1.2
"2024/11/05 08:00",100,3.47,1.21
"2024/11/05 07:00",100,3.32,3.99
"2024/11/05 06:00",100,2.98,3.99
"2024/11/05 05:00",100,3.98,3.99
"2024/11/05 04:00",100,3.98,3.98
"2024/11/05 03:00",100,3.98,3.98
"2024/11/05 02:00",100,3.98,3.99
"2024/11/05 01:00",100,3.98,3.98
"2024/11/05 00:00",100,3.98,3.99
"2024/11/04 23:00",100,3.98,3.98
"2024/11/04 22:00",100,3.98,3.98
"2024/11/04 21:00",100,3.98,3.98
"2024/11/04 20:00",100,3.98,3.97
"2024/11/04 19:00",100,3.98,3.98
"2024/11/04 18:00",100,3.98,4
"2024/11/04 17:00",100,3.98,3.98
"2024/11/04 16:00",100,3.98,3.99
"2024/11/04 15:00",100,3.98,3.98
"2024/11/04 14:00",100,5.64,3.99
"2024/11/04 13:00",100,3.98,3.97
"2024/11/04 12:00",100,3.98,3.99
"2024/11/04 11:00",100,3.98,3.99
"2024/11/04 10:00",100,5.64,3.98
"2024/11/04 09:00",100,3.98,3.99
"2024/11/04 08:00",100,4.8,3.98
"2024/11/04 07:00",100,4.68,1.19
"2024/11/04 06:00",100,5.91,1.2
"2024/11/04 05:00",100,4.44,1.2
"2024/11/04 04:00",100,3.12,1.18
"2024/11/04 03:00",100,4,5.62
"2024/11/04 02:00",100,5.63,5.62
"2024/11/04 01:00",100,4,5.65
"2024/11/04 00:00",100,5.63,5.63
"2024/11/03 23:00",100,5.77,5.62
