"日時","貯水率","流入量","放流量"
"2024/08/02 00:00",100,1.73,1.71
"2024/08/01 23:00",100,1.73,1.72
"2024/08/01 22:00",100,1.73,1.74
"2024/08/01 21:00",100,1.73,1.72
"2024/08/01 20:00",100,1.73,1.74
"2024/08/01 19:00",100,1.73,1.75
"2024/08/01 18:00",100,1.73,1.71
"2024/08/01 17:00",100,1.73,1.73
"2024/08/01 16:00",100,1.73,1.71
"2024/08/01 15:00",100,3.11,1.74
"2024/08/01 14:00",100,1.46,1.46
"2024/08/01 13:00",100,1.46,1.43
"2024/08/01 12:00",100,1.46,1.46
"2024/08/01 11:00",100,1.46,1.46
"2024/08/01 10:00",100,1.46,1.46
"2024/08/01 09:00",100,2.11,1.45
"2024/08/01 08:00",100,2.55,1.44
"2024/08/01 07:00",100,1.58,1.6
"2024/08/01 06:00",100,1.58,1.58
"2024/08/01 05:00",100,1.58,1.58
"2024/08/01 04:00",100,1.58,1.59
"2024/08/01 03:00",100,1.58,1.57
"2024/08/01 02:00",100,1.58,1.58
"2024/08/01 01:00",100,1.58,1.57
"2024/08/01 00:00",100,1.58,1.58
"2024/07/31 23:00",100,1.58,1.59
"2024/07/31 22:00",100,1.58,1.58
"2024/07/31 21:00",100,1.58,1.57
"2024/07/31 20:00",100,1.58,1.58
"2024/07/31 19:00",100,1.58,1.59
"2024/07/31 18:00",100,1.58,1.57
"2024/07/31 17:00",100,1.58,1.57
"2024/07/31 16:00",100,1.58,1.59
"2024/07/31 15:00",100,1.58,1.58
"2024/07/31 14:00",100,1.58,1.59
"2024/07/31 13:00",100,1.58,1.59
"2024/07/31 12:00",100,1.58,1.58
"2024/07/31 11:00",100,1.58,1.59
"2024/07/31 10:00",100,1.6,1.58
"2024/07/31 09:00",100,1.75,1.72
"2024/07/31 08:00",100,0.39,2
"2024/07/31 07:00",100,2.01,2.02
"2024/07/31 06:00",100,2.01,2
"2024/07/31 05:00",100,2.01,2.02
"2024/07/31 04:00",100,2.01,1.99
"2024/07/31 03:00",100,2.01,2.01
"2024/07/31 02:00",100,2.01,2.03
"2024/07/31 01:00",100,0.38,2.01
"2024/07/31 00:00",100,2.01,2.01
"2024/07/30 23:00",100,2.01,2.02
