"日時","貯水率","流入量","放流量"
"2025/06/10 00:00",96.2,1.94,9.01
"2025/06/09 23:00",96.6,2.26,9.05
"2025/06/09 22:00",97,1.98,9.06
"2025/06/09 21:00",97.3,2.46,9.09
"2025/06/09 20:00",97.7,2.82,9.09
"2025/06/09 19:00",97.9,2.27,2.64
"2025/06/09 18:00",97.9,1.44,1.44
"2025/06/09 17:00",97.9,1.44,1.44
"2025/06/09 16:00",97.9,0,1.44
"2025/06/09 15:00",98,1.44,1.43
"2025/06/09 14:00",98,1.77,1.43
"2025/06/09 13:00",98,1.85,1.84
"2025/06/09 12:00",98,0.3,1.84
"2025/06/09 11:00",98,1.85,1.84
"2025/06/09 10:00",98,0.3,1.85
"2025/06/09 09:00",98.1,0.25,1.85
"2025/06/09 08:00",98.2,1.76,1.75
"2025/06/09 07:00",98.2,0.21,1.75
"2025/06/09 06:00",98.3,0.22,1.77
"2025/06/09 05:00",98.4,0.22,1.77
"2025/06/09 04:00",98.4,1.57,1.76
"2025/06/09 03:00",98.4,0.94,0.93
"2025/06/09 02:00",98.4,0.75,0.94
"2025/06/09 01:00",98.4,0.19,0.93
"2025/06/09 00:00",98.5,0.94,0.93
"2025/06/08 23:00",98.5,0.94,0.94
"2025/06/08 22:00",98.5,0.94,0.94
"2025/06/08 21:00",98.5,0.94,0.94
"2025/06/08 20:00",98.5,0,0.94
"2025/06/08 19:00",98.6,1.77,1.77
"2025/06/08 18:00",98.6,0.22,1.76
"2025/06/08 17:00",98.7,0.22,1.76
"2025/06/08 16:00",98.8,0.53,1.75
"2025/06/08 15:00",98.8,1.46,1.76
"2025/06/08 14:00",98.8,0.24,1.76
"2025/06/08 13:00",98.9,0.31,1.86
"2025/06/08 12:00",99,1.54,1.85
"2025/06/08 11:00",99,0.62,1.85
"2025/06/08 10:00",99.1,0.31,1.85
"2025/06/08 09:00",99.2,0.3,1.87
"2025/06/08 08:00",99.3,1.13,1.85
"2025/06/08 07:00",99.3,0.21,1.77
"2025/06/08 06:00",99.3,0.21,1.76
"2025/06/08 05:00",99.4,1.75,1.75
"2025/06/08 04:00",99.4,1.75,1.75
"2025/06/08 03:00",99.4,1.49,1.76
"2025/06/08 02:00",99.4,0.66,0.66
"2025/06/08 01:00",99.4,0.66,0.65
"2025/06/08 00:00",99.4,0.66,0.65
"2025/06/07 23:00",99.4,0.66,0.66
