"日時","貯水率","流入量","放流量"
"2025/04/24 00:00",99.1,0.61,0.61
"2025/04/23 23:00",99.1,0.61,0.61
"2025/04/23 22:00",99.1,0.61,0.62
"2025/04/23 21:00",99.1,0.61,0.61
"2025/04/23 20:00",99.1,0.61,0.62
"2025/04/23 19:00",99.1,0.61,0.62
"2025/04/23 18:00",99.1,0.61,0.61
"2025/04/23 17:00",99.1,0.61,0.61
"2025/04/23 16:00",99.1,0.61,0.61
"2025/04/23 15:00",99.1,0.61,0.61
"2025/04/23 14:00",99.1,0.61,0.61
"2025/04/23 13:00",99.1,0.97,0.61
"2025/04/23 12:00",99.1,1.22,1.22
"2025/04/23 11:00",99.1,0.78,1.22
"2025/04/23 10:00",99.1,0.62,0.62
"2025/04/23 09:00",99.1,0.62,0.62
"2025/04/23 08:00",99.1,0.62,0.62
"2025/04/23 07:00",99.1,0.62,0.62
"2025/04/23 06:00",99.1,0.62,0.62
"2025/04/23 05:00",99.1,0.62,0.62
"2025/04/23 04:00",99.1,0.62,0.62
"2025/04/23 03:00",99.1,0.62,0.63
"2025/04/23 02:00",99.1,0.62,0.63
"2025/04/23 01:00",99.1,2.16,0.62
"2025/04/23 00:00",99,0.62,0.62
"2025/04/22 23:00",99,0.62,0.62
"2025/04/22 22:00",99,0.62,0.62
"2025/04/22 21:00",99,0.62,0.62
"2025/04/22 20:00",99,0.62,0.62
"2025/04/22 19:00",99,0.62,0.62
"2025/04/22 18:00",99,0.62,0.62
"2025/04/22 17:00",99,0.62,0.62
"2025/04/22 16:00",99,0,0.62
"2025/04/22 15:00",99.1,0.62,0.62
"2025/04/22 14:00",99.1,0.62,0.62
"2025/04/22 13:00",99.1,0.62,0.62
"2025/04/22 12:00",99.1,0.62,0.62
"2025/04/22 11:00",99.1,0.62,0.62
"2025/04/22 10:00",99.1,0.62,0.62
"2025/04/22 09:00",99.1,0.62,0.62
"2025/04/22 08:00",99.1,0.62,0.62
"2025/04/22 07:00",99.1,0.62,0.62
"2025/04/22 06:00",99.1,0.62,0.62
"2025/04/22 05:00",99.1,0.62,0.62
"2025/04/22 04:00",99.1,0.62,0.62
"2025/04/22 03:00",99.1,0.62,0.62
"2025/04/22 02:00",99.1,0.62,0.62
"2025/04/22 01:00",99.1,0,0.62
"2025/04/22 00:00",99.2,0.62,0.62
"2025/04/21 23:00",99.2,0.62,0.62
