"日時","貯水率","流入量","放流量"
"2024/09/12 00:00",100,1.74,1.74
"2024/09/11 23:00",100,3.4,1.73
"2024/09/11 22:00",100,5.06,1.73
"2024/09/11 21:00",100,1.73,1.74
"2024/09/11 20:00",100,1.74,1.75
"2024/09/11 19:00",100,1.73,1.74
"2024/09/11 18:00",100,1.73,1.74
"2024/09/11 17:00",100,1.73,1.75
"2024/09/11 16:00",100,1.73,1.73
"2024/09/11 15:00",100,1.73,1.74
"2024/09/11 14:00",100,1.74,1.75
"2024/09/11 13:00",100,1.73,1.73
"2024/09/11 12:00",100,1.75,1.73
"2024/09/11 11:00",100,0.36,1.74
"2024/09/11 10:00",100,2.02,2.01
"2024/09/11 09:00",100,2.02,2.02
"2024/09/11 08:00",100,2.02,2
"2024/09/11 07:00",100,0.53,2.02
"2024/09/11 06:00",100,1.85,2.01
"2024/09/11 05:00",100,2.02,2.04
"2024/09/11 04:00",100,2.02,2.03
"2024/09/11 03:00",100,2.02,2.01
"2024/09/11 02:00",100,2.02,2.02
"2024/09/11 01:00",100,2.02,2.01
"2024/09/11 00:00",100,2.02,2.02
"2024/09/10 23:00",100,2.02,2.03
"2024/09/10 22:00",100,2.02,2.04
"2024/09/10 21:00",100,2.02,2.02
"2024/09/10 20:00",100,2.02,2.01
"2024/09/10 19:00",100,2.02,2.01
"2024/09/10 18:00",100,7.12,2.03
"2024/09/10 17:00",100,2.33,1.32
"2024/09/10 16:00",100,1.33,1.33
"2024/09/10 15:00",100,1.33,1.33
"2024/09/10 14:00",100,2.99,1.31
"2024/09/10 13:00",100,1.33,1.32
"2024/09/10 12:00",100,1.33,1.34
"2024/09/10 11:00",100,1.33,1.32
"2024/09/10 10:00",100,2.99,1.33
"2024/09/10 09:00",100,1.33,1.33
"2024/09/10 08:00",100,1.33,1.33
"2024/09/10 07:00",100,1.33,1.33
"2024/09/10 06:00",100,1.33,1.34
"2024/09/10 05:00",100,2.99,1.34
"2024/09/10 04:00",100,1.33,1.32
"2024/09/10 03:00",100,1.33,1.34
"2024/09/10 02:00",100,1.33,1.33
"2024/09/10 01:00",100,2.95,1.33
"2024/09/10 00:00",100,1.33,1.33
"2024/09/09 23:00",100,1.33,1.32
