"日時","貯水率","流入量","放流量"
"2024/03/21 00:00",56.8,0.49,0.49
"2024/03/20 23:00",56.8,0.49,0.49
"2024/03/20 22:00",56.8,1.56,0.49
"2024/03/20 21:00",56.8,0.49,0.49
"2024/03/20 20:00",56.8,0.49,0.49
"2024/03/20 19:00",56.8,0.49,0.49
"2024/03/20 18:00",56.8,0.49,0.49
"2024/03/20 17:00",56.8,0.49,0.49
"2024/03/20 16:00",56.8,0.49,0.49
"2024/03/20 15:00",56.8,0.49,0.49
"2024/03/20 14:00",56.8,0.49,0.49
"2024/03/20 13:00",56.8,1.56,0.49
"2024/03/20 12:00",56.7,0.49,0.49
"2024/03/20 11:00",56.7,0.49,0.49
"2024/03/20 10:00",56.7,0.49,0.49
"2024/03/20 09:00",56.7,0.49,0.49
"2024/03/20 08:00",56.7,0.7,0.49
"2024/03/20 07:00",56.7,1.35,0.49
"2024/03/20 06:00",56.6,0.49,0.49
"2024/03/20 05:00",56.6,0.49,0.49
"2024/03/20 04:00",56.6,0.49,0.49
"2024/03/20 03:00",56.6,0.49,0.49
"2024/03/20 02:00",56.6,0.81,0.49
"2024/03/20 01:00",56.6,1.24,0.49
"2024/03/20 00:00",56.6,0.49,0.49
"2024/03/19 23:00",56.6,0.49,0.49
"2024/03/19 22:00",56.6,0.49,0.49
"2024/03/19 21:00",56.6,0.5,0.49
"2024/03/19 20:00",56.6,0.61,0.61
"2024/03/19 19:00",56.6,0.61,0.61
"2024/03/19 18:00",56.6,0.93,0.61
"2024/03/19 17:00",56.6,1.3,0.61
"2024/03/19 16:00",56.5,0.72,0.61
"2024/03/19 15:00",56.5,0.61,0.61
"2024/03/19 14:00",56.5,0.61,0.61
"2024/03/19 13:00",56.5,0.61,0.61
"2024/03/19 12:00",56.5,0.61,0.61
"2024/03/19 11:00",56.5,0.61,0.61
"2024/03/19 10:00",56.5,1.68,0.61
"2024/03/19 09:00",56.5,0.61,0.61
"2024/03/19 08:00",56.5,0.61,0.61
"2024/03/19 07:00",56.5,0.6,0.61
"2024/03/19 06:00",56.5,0.49,0.49
"2024/03/19 05:00",56.5,0.49,0.49
"2024/03/19 04:00",56.5,1.24,0.49
"2024/03/19 03:00",56.5,0.81,0.49
"2024/03/19 02:00",56.4,0.49,0.49
"2024/03/19 01:00",56.4,0.49,0.49
"2024/03/19 00:00",56.4,0.49,0.49
"2024/03/18 23:00",56.4,1.56,0.49
