"日時","貯水率","流入量","放流量"
"2024/08/29 00:00",90.8,3.17,3.18
"2024/08/28 23:00",90.8,3.17,3.17
"2024/08/28 22:00",90.8,3.17,3.17
"2024/08/28 21:00",90.8,1.59,3.18
"2024/08/28 20:00",90.9,3.17,3.17
"2024/08/28 19:00",90.9,3.17,3.17
"2024/08/28 18:00",90.9,3.17,3.16
"2024/08/28 17:00",91,1.04,2.51
"2024/08/28 16:00",91.7,1.7,1.72
"2024/08/28 15:00",91.7,1.7,1.7
"2024/08/28 14:00",91.7,0.22,1.7
"2024/08/28 13:00",91.8,1.7,1.7
"2024/08/28 12:00",91.8,0.22,1.71
"2024/08/28 11:00",91.8,1.7,1.71
"2024/08/28 10:00",91.8,0.22,1.68
"2024/08/28 09:00",91.9,0.22,1.71
"2024/08/28 08:00",92,1.7,1.72
"2024/08/28 07:00",92,0.22,1.71
"2024/08/28 06:00",92.1,1.7,1.71
"2024/08/28 05:00",92.1,0.22,1.69
"2024/08/28 04:00",92.2,1.67,1.71
"2024/08/28 03:00",92.2,1.18,1.18
"2024/08/28 02:00",92.2,0,1.19
"2024/08/28 01:00",92.2,1.18,1.18
"2024/08/28 00:00",92.2,1.18,1.18
"2024/08/27 23:00",92.2,1.18,1.18
"2024/08/27 22:00",92.2,1.18,1.18
"2024/08/27 21:00",92.2,1.18,1.18
"2024/08/27 20:00",92.2,0,1.18
"2024/08/27 19:00",92.3,0.37,1.86
"2024/08/27 18:00",92.4,1.85,1.84
"2024/08/27 17:00",92.4,0.37,1.84
"2024/08/27 16:00",92.5,1.85,1.83
"2024/08/27 15:00",92.5,0.37,1.85
"2024/08/27 14:00",92.5,0.37,1.85
"2024/08/27 13:00",92.6,1.85,1.84
"2024/08/27 12:00",92.6,0.37,1.89
"2024/08/27 11:00",92.7,0.37,1.84
"2024/08/27 10:00",92.8,1.85,1.85
"2024/08/27 09:00",92.8,0.37,1.85
"2024/08/27 08:00",92.8,1.85,1.85
"2024/08/27 07:00",92.8,0.37,1.86
"2024/08/27 06:00",92.9,0.37,1.87
"2024/08/27 05:00",93,1.85,1.85
"2024/08/27 04:00",93,0.32,1.84
"2024/08/27 03:00",93.1,1.18,1.18
"2024/08/27 02:00",93.1,1.18,1.18
"2024/08/27 01:00",93.1,1.18,1.18
"2024/08/27 00:00",93.1,1.18,1.18
"2024/08/26 23:00",93.1,0,1.18
