"日時","貯水率","流入量","放流量"
"2024/12/16 00:00",100,1.16,1.17
"2024/12/15 23:00",100,1.17,1.16
"2024/12/15 22:00",100,1.16,1.17
"2024/12/15 21:00",100,1.17,1.16
"2024/12/15 20:00",100,1.17,1.17
"2024/12/15 19:00",100,1.17,1.17
"2024/12/15 18:00",100,1.17,1.17
"2024/12/15 17:00",100,1.17,1.16
"2024/12/15 16:00",100,1.17,1.17
"2024/12/15 15:00",100,1.17,1.16
"2024/12/15 14:00",100,1.17,1.17
"2024/12/15 13:00",100,0,1.18
"2024/12/15 12:00",100,1.66,1.17
"2024/12/15 11:00",100,0.82,1.17
"2024/12/15 10:00",100,1.17,1.17
"2024/12/15 09:00",100,1.17,1.17
"2024/12/15 08:00",100,0,1.18
"2024/12/15 07:00",100,1.17,1.17
"2024/12/15 06:00",100,1.17,1.17
"2024/12/15 05:00",100,1.17,1.17
"2024/12/15 04:00",100,1.17,1.17
"2024/12/15 03:00",100,1.17,1.17
"2024/12/15 02:00",100,1.17,1.17
"2024/12/15 01:00",100,1.17,1.16
"2024/12/15 00:00",100,0.47,1.17
"2024/12/14 23:00",100,0.7,1.17
"2024/12/14 22:00",100,1.17,1.17
"2024/12/14 21:00",100,1.17,1.18
"2024/12/14 20:00",100,1.17,1.16
"2024/12/14 19:00",100,1.17,1.17
"2024/12/14 18:00",100,1.17,1.17
"2024/12/14 17:00",100,1.17,1.17
"2024/12/14 16:00",100,1.17,1.16
"2024/12/14 15:00",100,1.17,1.17
"2024/12/14 14:00",100,1.17,1.17
"2024/12/14 13:00",100,1.17,1.17
"2024/12/14 12:00",100,1.17,1.17
"2024/12/14 11:00",100,1.17,1.17
"2024/12/14 10:00",100,0,1.16
"2024/12/14 09:00",100,1.17,1.17
"2024/12/14 08:00",100,1.17,1.17
"2024/12/14 07:00",100,1.17,1.18
"2024/12/14 06:00",100,1.17,1.17
"2024/12/14 05:00",100,1.17,1.17
"2024/12/14 04:00",100,1.17,1.17
"2024/12/14 03:00",100,1.17,1.17
"2024/12/14 02:00",100,1.17,1.17
"2024/12/14 01:00",100,1.17,1.17
"2024/12/14 00:00",100,1.17,1.18
"2024/12/13 23:00",100,1.17,1.17
