"日時","貯水率","流入量","放流量"
"2024/04/11 00:00",95.9,2.12,0.58
"2024/04/10 23:00",95.8,2.12,0.58
"2024/04/10 22:00",95.7,1.97,0.59
"2024/04/10 21:00",95.7,0.73,0.58
"2024/04/10 20:00",95.6,2.12,0.58
"2024/04/10 19:00",95.6,2.12,0.58
"2024/04/10 18:00",95.5,0.58,0.59
"2024/04/10 17:00",95.5,2.12,0.58
"2024/04/10 16:00",95.4,2.12,0.58
"2024/04/10 15:00",95.3,0.89,0.58
"2024/04/10 14:00",95.3,1.81,0.58
"2024/04/10 13:00",95.2,2.12,0.59
"2024/04/10 12:00",95.1,2.09,0.58
"2024/04/10 11:00",95.1,0.58,0.58
"2024/04/10 10:00",95.1,2.08,0.58
"2024/04/10 09:00",95,2.08,0.58
"2024/04/10 08:00",94.9,3.44,0.58
"2024/04/10 07:00",94.8,1.33,0.58
"2024/04/10 06:00",94.8,1.48,0.58
"2024/04/10 05:00",94.7,2.08,0.58
"2024/04/10 04:00",94.6,2.53,0.58
"2024/04/10 03:00",94.5,2.08,0.58
"2024/04/10 02:00",94.4,2.68,0.58
"2024/04/10 01:00",94.4,1.78,0.58
"2024/04/10 00:00",94.3,1.63,0.58
"2024/04/09 23:00",94.2,3.29,0.58
"2024/04/09 22:00",94,2.08,0.58
"2024/04/09 21:00",94,2.08,0.58
"2024/04/09 20:00",93.9,2.99,0.58
"2024/04/09 19:00",93.8,2.68,0.58
"2024/04/09 18:00",93.6,2.08,0.58
"2024/04/09 17:00",93.6,3.54,0.58
"2024/04/09 16:00",93.4,3.54,0.58
"2024/04/09 15:00",93.2,2.06,0.58
"2024/04/09 14:00",93.2,3.54,0.58
"2024/04/09 13:00",93,3.54,0.58
"2024/04/09 12:00",92.9,3.54,0.58
"2024/04/09 11:00",92.7,3.69,0.59
"2024/04/09 10:00",92.5,4.58,0.58
"2024/04/09 09:00",92.4,3.84,0.57
"2024/04/09 08:00",92.2,3.54,0.58
"2024/04/09 07:00",92,5.02,0.58
"2024/04/09 06:00",91.8,5.02,0.58
"2024/04/09 05:00",91.5,5.17,0.58
"2024/04/09 04:00",91.3,5.32,0.58
"2024/04/09 03:00",91.1,5.17,0.58
"2024/04/09 02:00",90.8,4.87,0.57
"2024/04/09 01:00",90.6,3.24,0.57
"2024/04/09 00:00",90.4,3.31,0.58
"2024/04/08 23:00",90.3,2.01,0.58
