"日時","貯水率","流入量","放流量"
"2025/05/16 00:00",99.9,0.63,0.63
"2025/05/15 23:00",99.9,0.63,0.63
"2025/05/15 22:00",99.9,0.63,0.64
"2025/05/15 21:00",99.9,0.63,0.63
"2025/05/15 20:00",99.9,0.64,0.64
"2025/05/15 19:00",99.9,0.64,0.63
"2025/05/15 18:00",99.9,0.64,0.64
"2025/05/15 17:00",99.9,0.64,0.63
"2025/05/15 16:00",99.9,0.64,0.64
"2025/05/15 15:00",99.9,0.64,0.64
"2025/05/15 14:00",99.9,0.64,0.64
"2025/05/15 13:00",99.9,0.64,0.64
"2025/05/15 12:00",99.9,0.64,0.64
"2025/05/15 11:00",99.9,0.64,0.64
"2025/05/15 10:00",99.9,0.64,0.64
"2025/05/15 09:00",99.9,0.64,0.64
"2025/05/15 08:00",99.9,0.65,0.65
"2025/05/15 07:00",99.9,0.65,0.66
"2025/05/15 06:00",99.9,0.65,0.65
"2025/05/15 05:00",99.9,0.65,0.65
"2025/05/15 04:00",99.9,0.65,0.65
"2025/05/15 03:00",99.9,0.65,0.66
"2025/05/15 02:00",99.9,0.65,0.65
"2025/05/15 01:00",99.9,0,0.66
"2025/05/15 00:00",100,0.65,0.66
"2025/05/14 23:00",100,0.65,0.65
"2025/05/14 22:00",100,0.66,0.65
"2025/05/14 21:00",100,0.65,0.65
"2025/05/14 20:00",100,0.65,0.66
"2025/05/14 19:00",100,0.66,0.65
"2025/05/14 18:00",100,0.65,0.66
"2025/05/14 17:00",100,0.66,0.65
"2025/05/14 16:00",100,0.66,0.66
"2025/05/14 15:00",100,0.65,0.66
"2025/05/14 14:00",100,0.66,0.66
"2025/05/14 13:00",100,0.66,0.66
"2025/05/14 12:00",100,0.65,0.65
"2025/05/14 11:00",100,0.66,0.65
"2025/05/14 10:00",100,0.64,0.64
"2025/05/14 09:00",100,0.65,0.64
"2025/05/14 08:00",100,0.67,0.64
"2025/05/14 07:00",100,0.67,0.67
"2025/05/14 06:00",100,0.67,0.67
"2025/05/14 05:00",100,0.67,0.67
"2025/05/14 04:00",100,0.67,0.66
"2025/05/14 03:00",100,0.67,0.67
"2025/05/14 02:00",100,0.67,0.67
"2025/05/14 01:00",100,0.67,0.67
"2025/05/14 00:00",100,0.67,0.67
"2025/05/13 23:00",100,0.67,0.67
