"日時","貯水率","流入量","放流量"
"2025/01/03 00:00",91.8,1.8,1.8
"2025/01/02 23:00",91.8,0.32,1.8
"2025/01/02 22:00",91.8,0.32,1.8
"2025/01/02 21:00",91.9,1.8,1.79
"2025/01/02 20:00",91.9,0.32,1.79
"2025/01/02 19:00",92,1.21,1.8
"2025/01/02 18:00",92,0.91,1.8
"2025/01/02 17:00",92.1,0.32,1.82
"2025/01/02 16:00",92.2,1.8,1.8
"2025/01/02 15:00",92.2,0.32,1.8
"2025/01/02 14:00",92.2,1.5,1.81
"2025/01/02 13:00",92.2,0.62,1.81
"2025/01/02 12:00",92.3,0.32,1.8
"2025/01/02 11:00",92.4,1.8,1.79
"2025/01/02 10:00",92.4,0.32,1.79
"2025/01/02 09:00",92.5,0.32,1.79
"2025/01/02 08:00",92.5,1.8,1.8
"2025/01/02 07:00",92.5,0.32,1.8
"2025/01/02 06:00",92.6,1.21,1.8
"2025/01/02 05:00",92.6,0.91,1.79
"2025/01/02 04:00",92.7,0.32,1.8
"2025/01/02 03:00",92.8,1.8,1.79
"2025/01/02 02:00",92.8,0.32,1.81
"2025/01/02 01:00",92.8,0.76,1.8
"2025/01/02 00:00",92.8,1.36,1.8
"2025/01/01 23:00",92.9,0.32,1.8
"2025/01/01 22:00",93,1.8,1.8
"2025/01/01 21:00",93,0.32,1.81
"2025/01/01 20:00",93.1,0.32,1.8
"2025/01/01 19:00",93.2,1.8,1.8
"2025/01/01 18:00",93.2,0.32,1.81
"2025/01/01 17:00",93.2,1.8,1.8
"2025/01/01 16:00",93.2,0.32,1.81
"2025/01/01 15:00",93.3,1.8,1.79
"2025/01/01 14:00",93.3,0.32,1.81
"2025/01/01 13:00",93.4,0.32,1.81
"2025/01/01 12:00",93.5,1.8,1.8
"2025/01/01 11:00",93.5,0.32,1.81
"2025/01/01 10:00",93.6,0.3,1.81
"2025/01/01 09:00",93.6,1.8,1.79
"2025/01/01 08:00",93.6,0.3,1.81
"2025/01/01 07:00",93.7,0.9,1.81
"2025/01/01 06:00",93.7,1.21,1.8
"2025/01/01 05:00",93.8,0.3,1.81
"2025/01/01 04:00",93.9,1.81,1.82
"2025/01/01 03:00",93.9,0.3,1.8
"2025/01/01 02:00",94,1.51,1.82
"2025/01/01 01:00",94,0.6,1.82
"2025/01/01 00:00",94,0.3,1.8
"2024/12/31 23:00",94.1,1.81,1.81
