"日時","貯水率","流入量","放流量"
"2025/08/09 00:00",73.3,0.82,0.82
"2025/08/08 23:00",73.3,0.82,0.81
"2025/08/08 22:00",73.3,0.82,0.81
"2025/08/08 21:00",73.3,0.82,0.81
"2025/08/08 20:00",73.3,0,0.82
"2025/08/08 19:00",73.4,0.67,1.97
"2025/08/08 18:00",73.4,0.64,1.98
"2025/08/08 17:00",73.5,0.58,1.89
"2025/08/08 16:00",73.6,1.88,1.89
"2025/08/08 15:00",73.6,0.17,1.89
"2025/08/08 14:00",73.7,0.58,1.88
"2025/08/08 13:00",73.7,0.23,1.89
"2025/08/08 12:00",73.9,0.86,1.89
"2025/08/08 11:00",73.9,0.71,1.62
"2025/08/08 10:00",73.9,0.84,1.63
"2025/08/08 09:00",74,1.36,1.61
"2025/08/08 08:00",74,0,1.26
"2025/08/08 07:00",74.1,1.2,1.2
"2025/08/08 06:00",74.1,1.2,1.2
"2025/08/08 05:00",74.1,1.2,1.2
"2025/08/08 04:00",74.1,1.17,1.19
"2025/08/08 03:00",74.1,0.82,0.82
"2025/08/08 02:00",74.1,0.82,0.82
"2025/08/08 01:00",74.1,0.82,0.82
"2025/08/08 00:00",74.1,0.82,0.82
"2025/08/07 23:00",74.1,0.82,0.82
"2025/08/07 22:00",74.1,0.82,0.82
"2025/08/07 21:00",74.1,0.82,0.82
"2025/08/07 20:00",74.1,0.86,0.82
"2025/08/07 19:00",74.1,1.2,1.2
"2025/08/07 18:00",74.1,1.2,1.19
"2025/08/07 17:00",74.1,1.19,1.19
"2025/08/07 16:00",74.1,1.16,1.16
"2025/08/07 15:00",74.1,1.16,1.17
"2025/08/07 14:00",74.1,2.35,1.16
"2025/08/07 13:00",74,0.95,0.95
"2025/08/07 12:00",74,0.95,0.95
"2025/08/07 11:00",74,2.25,0.95
"2025/08/07 10:00",73.9,0.95,0.95
"2025/08/07 09:00",73.9,1.65,0.95
"2025/08/07 08:00",73.9,1.34,1.88
"2025/08/07 07:00",73.9,1.34,1.86
"2025/08/07 06:00",73.9,0.47,1.86
"2025/08/07 05:00",74,1.47,1.86
"2025/08/07 04:00",74.1,0.48,1.87
"2025/08/07 03:00",74.1,0.83,0.83
"2025/08/07 02:00",74.1,0,0.83
"2025/08/07 01:00",74.2,0.83,0.83
"2025/08/07 00:00",74.2,0.83,0.83
"2025/08/06 23:00",74.2,0.83,0.83
