"日時","貯水率","流入量","放流量"
"2024/10/16 00:00",100,1.19,1.19
"2024/10/15 23:00",100,1.19,1.19
"2024/10/15 22:00",100,1.19,1.19
"2024/10/15 21:00",100,1.19,1.19
"2024/10/15 20:00",100,1.19,1.19
"2024/10/15 19:00",100,1.19,1.19
"2024/10/15 18:00",100,1.19,1.19
"2024/10/15 17:00",100,1.19,1.19
"2024/10/15 16:00",100,1.19,1.2
"2024/10/15 15:00",100,1.19,1.19
"2024/10/15 14:00",100,1.19,1.19
"2024/10/15 13:00",100,1.19,1.19
"2024/10/15 12:00",100,1.19,1.19
"2024/10/15 11:00",100,1.19,1.19
"2024/10/15 10:00",100,1.19,1.19
"2024/10/15 09:00",100,1.19,1.19
"2024/10/15 08:00",100,1.19,1.19
"2024/10/15 07:00",100,1.19,1.19
"2024/10/15 06:00",100,1.19,1.19
"2024/10/15 05:00",100,1.19,1.2
"2024/10/15 04:00",100,1.19,1.19
"2024/10/15 03:00",100,1.19,1.19
"2024/10/15 02:00",100,1.19,1.19
"2024/10/15 01:00",100,1.19,1.19
"2024/10/15 00:00",100,1.19,1.19
"2024/10/14 23:00",100,1.19,1.19
"2024/10/14 22:00",100,1.19,1.18
"2024/10/14 21:00",100,1.19,1.19
"2024/10/14 20:00",100,1.19,1.19
"2024/10/14 19:00",100,1.19,1.19
"2024/10/14 18:00",100,1.19,1.2
"2024/10/14 17:00",100,1.19,1.19
"2024/10/14 16:00",100,1.19,1.19
"2024/10/14 15:00",100,1.19,1.19
"2024/10/14 14:00",100,1.19,1.19
"2024/10/14 13:00",100,1.19,1.19
"2024/10/14 12:00",100,1.19,1.2
"2024/10/14 11:00",100,1.19,1.19
"2024/10/14 10:00",100,1.19,1.19
"2024/10/14 09:00",100,1.37,1.18
"2024/10/14 08:00",100,1.58,1.59
"2024/10/14 07:00",100,0,1.57
"2024/10/14 06:00",100,1.58,1.58
"2024/10/14 05:00",100,1.58,1.6
"2024/10/14 04:00",100,1.58,1.59
"2024/10/14 03:00",100,1.58,1.61
"2024/10/14 02:00",100,0,1.58
"2024/10/14 01:00",100,1.58,1.57
"2024/10/14 00:00",100,1.58,1.58
"2024/10/13 23:00",100,1.58,1.58
