"日時","貯水率","流入量","放流量"
"2024/08/19 00:00",96.1,0.96,0.97
"2024/08/18 23:00",96.1,0.96,0.97
"2024/08/18 22:00",96.1,0.96,0.97
"2024/08/18 21:00",96.1,0.96,0.96
"2024/08/18 20:00",96.1,1.02,0.96
"2024/08/18 19:00",96.1,1.79,1.79
"2024/08/18 18:00",96.1,0.25,1.79
"2024/08/18 17:00",96.2,1.79,1.78
"2024/08/18 16:00",96.2,0.25,1.78
"2024/08/18 15:00",96.3,1.79,1.8
"2024/08/18 14:00",96.3,0.25,1.78
"2024/08/18 13:00",96.4,1.79,1.79
"2024/08/18 12:00",96.4,0.25,1.79
"2024/08/18 11:00",96.4,1.79,1.79
"2024/08/18 10:00",96.4,0.25,1.8
"2024/08/18 09:00",96.5,1.79,1.79
"2024/08/18 08:00",96.5,0.25,1.78
"2024/08/18 07:00",96.6,1.79,1.79
"2024/08/18 06:00",96.6,0.25,1.79
"2024/08/18 05:00",96.7,1.79,1.78
"2024/08/18 04:00",96.7,1.73,1.78
"2024/08/18 03:00",96.7,0.96,0.96
"2024/08/18 02:00",96.7,0.96,0.97
"2024/08/18 01:00",96.7,0.96,0.96
"2024/08/18 00:00",96.7,0.96,0.97
"2024/08/17 23:00",96.7,0.96,0.95
"2024/08/17 22:00",96.7,0.96,0.97
"2024/08/17 21:00",96.7,0.96,0.96
"2024/08/17 20:00",96.7,1.01,0.96
"2024/08/17 19:00",96.7,0.43,1.66
"2024/08/17 18:00",96.7,1.35,1.67
"2024/08/17 17:00",96.8,1.66,1.66
"2024/08/17 16:00",96.8,0.12,1.64
"2024/08/17 15:00",96.8,1.66,1.65
"2024/08/17 14:00",96.8,0.12,1.66
"2024/08/17 13:00",96.9,1.66,1.66
"2024/08/17 12:00",96.9,1.66,1.67
"2024/08/17 11:00",96.9,0.12,1.67
"2024/08/17 10:00",97,1.66,1.67
"2024/08/17 09:00",97,0.12,1.67
"2024/08/17 08:00",97.1,1.66,1.66
"2024/08/17 07:00",97.1,1.66,1.65
"2024/08/17 06:00",97.1,0.12,1.65
"2024/08/17 05:00",97.2,1.66,1.67
"2024/08/17 04:00",97.2,1.61,1.66
"2024/08/17 03:00",97.2,0.96,0.95
"2024/08/17 02:00",97.2,0.96,0.97
"2024/08/17 01:00",97.2,0.96,0.96
"2024/08/17 00:00",97.2,0.96,0.97
"2024/08/16 23:00",97.2,0.96,0.97
