"日時","貯水率","流入量","放流量"
"2025/06/20 00:00",100,1.07,1.07
"2025/06/19 23:00",100,1.07,1.07
"2025/06/19 22:00",100,1.07,1.06
"2025/06/19 21:00",100,1.07,1.07
"2025/06/19 20:00",100,1.11,1.07
"2025/06/19 19:00",100,1.59,1.59
"2025/06/19 18:00",100,1.59,1.58
"2025/06/19 17:00",100,1.59,1.58
"2025/06/19 16:00",100,0,1.59
"2025/06/19 15:00",100,1.59,1.59
"2025/06/19 14:00",100,1.59,1.59
"2025/06/19 13:00",100,1.59,1.59
"2025/06/19 12:00",100,1.59,1.58
"2025/06/19 11:00",100,1.59,1.59
"2025/06/19 10:00",100,1.59,1.59
"2025/06/19 09:00",100,1.59,1.58
"2025/06/19 08:00",100,1.59,1.59
"2025/06/19 07:00",100,1.59,1.58
"2025/06/19 06:00",100,1.59,1.59
"2025/06/19 05:00",100,1.59,1.58
"2025/06/19 04:00",100,1.55,1.58
"2025/06/19 03:00",100,2.7,1.07
"2025/06/19 02:00",100,1.07,1.07
"2025/06/19 01:00",100,1.07,1.06
"2025/06/19 00:00",100,1.07,1.06
"2025/06/18 23:00",100,2.7,1.06
"2025/06/18 22:00",100,1.07,1.07
"2025/06/18 21:00",100,1.07,1.07
"2025/06/18 20:00",100,1.09,1.07
"2025/06/18 19:00",100,2.97,1.33
"2025/06/18 18:00",100,1.34,1.33
"2025/06/18 17:00",100,1.33,1.34
"2025/06/18 16:00",100,1.33,1.34
"2025/06/18 15:00",100,1.34,1.34
"2025/06/18 14:00",100,1.34,1.33
"2025/06/18 13:00",100,1.33,1.34
"2025/06/18 12:00",100,1.33,1.34
"2025/06/18 11:00",100,1.33,1.34
"2025/06/18 10:00",100,1.33,1.34
"2025/06/18 09:00",100,2.97,1.33
"2025/06/18 08:00",100,1.34,1.34
"2025/06/18 07:00",100,1.33,1.33
"2025/06/18 06:00",100,1.34,1.33
"2025/06/18 05:00",100,1.33,1.33
"2025/06/18 04:00",100,1.6,1.34
"2025/06/18 03:00",100,2.37,1.07
"2025/06/18 02:00",100,1.07,1.07
"2025/06/18 01:00",100,2.7,1.07
"2025/06/18 00:00",100,1.07,1.07
"2025/06/17 23:00",100,1.07,1.07
