"日時","貯水率","流入量","放流量"
"2024/11/04 00:00",100,5.63,5.63
"2024/11/03 23:00",100,5.77,5.62
"2024/11/03 22:00",100,5.82,5.81
"2024/11/03 21:00",100,5.82,5.82
"2024/11/03 20:00",100,5.82,5.83
"2024/11/03 19:00",100,5.82,5.83
"2024/11/03 18:00",100,6.17,5.82
"2024/11/03 17:00",100,9.34,3.48
"2024/11/03 16:00",100,11.29,3.47
"2024/11/03 15:00",100,6.4,3.47
"2024/11/03 14:00",100,7.36,3.46
"2024/11/03 13:00",100,10.29,3.46
"2024/11/03 12:00",100,7.14,3.45
"2024/11/03 11:00",99.8,9.89,3.44
"2024/11/03 10:00",99.4,14.5,3.44
"2024/11/03 09:00",99.1,10.61,4.16
"2024/11/03 08:00",98.9,8.37,4.16
"2024/11/03 07:00",99.3,7.83,15.2
"2024/11/03 06:00",99.6,6.95,15.24
"2024/11/03 05:00",99.8,13.45,15.29
"2024/11/03 04:00",100,11.44,15.34
"2024/11/03 03:00",100,13.43,15.37
"2024/11/03 02:00",100,15.42,15.42
"2024/11/03 01:00",100,12.51,15.44
"2024/11/03 00:00",100,15.47,15.47
"2024/11/02 23:00",100,10.75,15.48
"2024/11/02 22:00",100,10.39,20.17
"2024/11/02 21:00",100,18.03,20.93
"2024/11/02 20:00",100,20.21,13.39
"2024/11/02 19:00",100,18.53,15.61
"2024/11/02 18:00",100,23.89,17.07
"2024/11/02 17:00",100,27.24,20.75
"2024/11/02 16:00",100,33.97,21.25
"2024/11/02 15:00",100,38.16,33.57
"2024/11/02 14:00",99.8,47.18,54.94
"2024/11/02 13:00",100,103.07,115.72
"2024/11/02 12:00",100,132.42,98.54
"2024/11/02 11:00",99.5,54.2,51.91
"2024/11/02 10:00",98.8,5.62,5.62
"2024/11/02 09:00",98.8,5.64,5.62
"2024/11/02 08:00",98.9,7.05,7.09
"2024/11/02 07:00",98.9,6.36,6.36
"2024/11/02 06:00",98.9,6.36,6.36
"2024/11/02 05:00",98.9,6.29,6.36
"2024/11/02 04:00",98.8,5.62,5.62
"2024/11/02 03:00",98.8,5.62,5.62
"2024/11/02 02:00",98.8,12.6,5.62
"2024/11/02 01:00",98.6,4.15,4.15
"2024/11/02 00:00",98.6,7.81,7.81
"2024/11/01 23:00",98.8,7.06,10.75
