"日時","貯水率","流入量","放流量"
"2025/10/23 00:00",86.8,0.62,0.62
"2025/10/22 23:00",86.8,0.62,0.62
"2025/10/22 22:00",86.8,0.62,0.62
"2025/10/22 21:00",86.8,0.62,0.62
"2025/10/22 20:00",86.8,0.62,0.62
"2025/10/22 19:00",86.8,0.62,0.62
"2025/10/22 18:00",86.8,0.62,0.62
"2025/10/22 17:00",86.8,0.62,0.62
"2025/10/22 16:00",86.8,0.62,0.62
"2025/10/22 15:00",86.8,2.06,0.62
"2025/10/22 14:00",86.8,0.62,0.62
"2025/10/22 13:00",86.8,0.62,0.63
"2025/10/22 12:00",86.8,0.62,0.62
"2025/10/22 11:00",86.8,0.62,0.63
"2025/10/22 10:00",86.8,0.62,0.62
"2025/10/22 09:00",86.8,0.62,0.63
"2025/10/22 08:00",86.8,0.62,0.62
"2025/10/22 07:00",86.8,0.62,0.63
"2025/10/22 06:00",86.8,0.62,0.63
"2025/10/22 05:00",86.8,0.91,0.63
"2025/10/22 04:00",86.8,1.77,0.63
"2025/10/22 03:00",86.7,0.62,0.62
"2025/10/22 02:00",86.7,0.62,0.62
"2025/10/22 01:00",86.7,0.62,0.62
"2025/10/22 00:00",86.7,0.62,0.62
"2025/10/21 23:00",86.7,0.62,0.63
"2025/10/21 22:00",86.7,0.62,0.62
"2025/10/21 21:00",86.7,0.63,0.62
"2025/10/21 20:00",86.7,0.62,0.62
"2025/10/21 19:00",86.7,0.62,0.62
"2025/10/21 18:00",86.7,0.63,0.63
"2025/10/21 17:00",86.7,0.62,0.62
"2025/10/21 16:00",86.7,0.62,0.62
"2025/10/21 15:00",86.7,0.62,0.63
"2025/10/21 14:00",86.7,0.63,0.63
"2025/10/21 13:00",86.7,0.63,0.63
"2025/10/21 12:00",86.7,0.63,0.63
"2025/10/21 11:00",86.7,0.63,0.63
"2025/10/21 10:00",86.7,0.63,0.63
"2025/10/21 09:00",86.7,0.63,0.62
"2025/10/21 08:00",86.7,0.63,0.63
"2025/10/21 07:00",86.7,0.63,0.62
"2025/10/21 06:00",86.7,2.06,0.62
"2025/10/21 05:00",86.6,0.63,0.63
"2025/10/21 04:00",86.6,0.63,0.63
"2025/10/21 03:00",86.6,0.63,0.63
"2025/10/21 02:00",86.6,0.63,0.63
"2025/10/21 01:00",86.6,0.63,0.63
"2025/10/21 00:00",86.6,0.63,0.63
"2025/10/20 23:00",86.6,0.63,0.63
