"日時","貯水率","流入量","放流量"
"2024/11/03 00:00",100,15.47,15.47
"2024/11/02 23:00",100,10.75,15.48
"2024/11/02 22:00",100,10.39,20.17
"2024/11/02 21:00",100,18.03,20.93
"2024/11/02 20:00",100,20.21,13.39
"2024/11/02 19:00",100,18.53,15.61
"2024/11/02 18:00",100,23.89,17.07
"2024/11/02 17:00",100,27.24,20.75
"2024/11/02 16:00",100,33.97,21.25
"2024/11/02 15:00",100,38.16,33.57
"2024/11/02 14:00",99.8,47.18,54.94
"2024/11/02 13:00",100,103.07,115.72
"2024/11/02 12:00",100,132.42,98.54
"2024/11/02 11:00",99.5,54.2,51.91
"2024/11/02 10:00",98.8,5.62,5.62
"2024/11/02 09:00",98.8,5.64,5.62
"2024/11/02 08:00",98.9,7.05,7.09
"2024/11/02 07:00",98.9,6.36,6.36
"2024/11/02 06:00",98.9,6.36,6.36
"2024/11/02 05:00",98.9,6.29,6.36
"2024/11/02 04:00",98.8,5.62,5.62
"2024/11/02 03:00",98.8,5.62,5.62
"2024/11/02 02:00",98.8,12.6,5.62
"2024/11/02 01:00",98.6,4.15,4.15
"2024/11/02 00:00",98.6,7.81,7.81
"2024/11/01 23:00",98.8,7.06,10.75
"2024/11/01 22:00",98.9,5.23,10.76
"2024/11/01 21:00",99,8.57,8.57
"2024/11/01 20:00",98.9,6.37,6.37
"2024/11/01 19:00",98.9,4.89,4.89
"2024/11/01 18:00",98.9,4.74,4.89
"2024/11/01 17:00",98.8,4.15,4.16
"2024/11/01 16:00",0,0,0
"2024/11/01 15:00",0,0,0
"2024/11/01 14:00",0,0,0
"2024/11/01 13:00",0,0,0
"2024/11/01 12:00",0,0,0
"2024/11/01 11:00",0,0,0
"2024/11/01 10:00",98.7,1.93,1.22
"2024/11/01 09:00",98.7,0.48,2.02
"2024/11/01 08:00",98.8,2.01,2
"2024/11/01 07:00",98.8,0.48,2.01
"2024/11/01 06:00",98.9,2.01,2.02
"2024/11/01 05:00",98.9,0.48,2.02
"2024/11/01 04:00",98.9,2.01,2.02
"2024/11/01 03:00",98.9,0.48,2.01
"2024/11/01 02:00",99,2.01,2.02
"2024/11/01 01:00",99,0.48,2.01
"2024/11/01 00:00",99.1,2.01,2
"2024/10/31 23:00",99.1,0.48,2.01
