"日時","貯水率","流入量","放流量"
"2024/03/05 00:00",50.7,0.48,0.48
"2024/03/04 23:00",50.7,0.48,0.48
"2024/03/04 22:00",50.7,0.48,0.48
"2024/03/04 21:00",50.7,0.49,0.48
"2024/03/04 20:00",50.7,0.6,0.6
"2024/03/04 19:00",50.7,0.6,0.6
"2024/03/04 18:00",50.7,0.6,0.6
"2024/03/04 17:00",50.7,0.6,0.6
"2024/03/04 16:00",50.7,0.6,0.6
"2024/03/04 15:00",50.7,0,0.6
"2024/03/04 14:00",50.8,0.6,0.6
"2024/03/04 13:00",50.8,0.6,0.6
"2024/03/04 12:00",50.8,0.6,0.6
"2024/03/04 11:00",50.8,0.6,0.6
"2024/03/04 10:00",50.8,0.6,0.6
"2024/03/04 09:00",50.8,0.6,0.6
"2024/03/04 08:00",50.8,0.6,0.6
"2024/03/04 07:00",50.8,0.59,0.6
"2024/03/04 06:00",50.8,0.48,0.48
"2024/03/04 05:00",50.8,0.48,0.48
"2024/03/04 04:00",50.8,0.48,0.48
"2024/03/04 03:00",50.8,0.48,0.48
"2024/03/04 02:00",50.8,0.48,0.48
"2024/03/04 01:00",50.8,0.48,0.48
"2024/03/04 00:00",50.8,0.48,0.48
"2024/03/03 23:00",50.8,0.48,0.48
"2024/03/03 22:00",50.8,0.48,0.48
"2024/03/03 21:00",50.8,0.48,0.48
"2024/03/03 20:00",50.8,0.48,0.48
"2024/03/03 19:00",50.8,0.48,0.48
"2024/03/03 18:00",50.8,0.48,0.48
"2024/03/03 17:00",50.8,0.48,0.48
"2024/03/03 16:00",50.8,0.48,0.48
"2024/03/03 15:00",50.8,0.48,0.48
"2024/03/03 14:00",50.8,0.88,0.48
"2024/03/03 13:00",50.8,0.29,0.48
"2024/03/03 12:00",50.8,0.48,0.48
"2024/03/03 11:00",50.8,1.48,0.48
"2024/03/03 10:00",50.7,0.48,0.48
"2024/03/03 09:00",50.7,0.48,0.48
"2024/03/03 08:00",50.7,0.48,0.48
"2024/03/03 07:00",50.7,0.48,0.48
"2024/03/03 06:00",50.7,0.48,0.48
"2024/03/03 05:00",50.7,0.48,0.48
"2024/03/03 04:00",50.7,0.48,0.48
"2024/03/03 03:00",50.7,0.48,0.48
"2024/03/03 02:00",50.7,0.48,0.48
"2024/03/03 01:00",50.7,0.48,0.48
"2024/03/03 00:00",50.7,0.48,0.48
"2024/03/02 23:00",50.7,0.48,0.48
