"日時","貯水率","流入量","放流量"
"2024/09/26 00:00",99,0.97,0.97
"2024/09/25 23:00",99,0.97,0.97
"2024/09/25 22:00",99,0.97,0.97
"2024/09/25 21:00",99,0.97,0.97
"2024/09/25 20:00",99,1.01,0.96
"2024/09/25 19:00",99,1.52,1.51
"2024/09/25 18:00",99,1.5,1.54
"2024/09/25 17:00",99,1.34,1.48
"2024/09/25 16:00",99,0.15,1.5
"2024/09/25 15:00",99.1,1.49,1.48
"2024/09/25 14:00",99.1,1.49,1.49
"2024/09/25 13:00",99.1,1.49,1.48
"2024/09/25 12:00",99.1,1.49,1.49
"2024/09/25 11:00",99.1,1.49,1.48
"2024/09/25 10:00",99.1,1.49,1.48
"2024/09/25 09:00",99.1,1.62,1.49
"2024/09/25 08:00",99.1,1.65,1.62
"2024/09/25 07:00",99.1,1.65,1.65
"2024/09/25 06:00",99.1,1.66,1.65
"2024/09/25 05:00",99.1,1.66,1.65
"2024/09/25 04:00",99.1,1.6,1.65
"2024/09/25 03:00",99.1,2.5,0.96
"2024/09/25 02:00",99,0.96,0.96
"2024/09/25 01:00",99,0.96,0.96
"2024/09/25 00:00",99,0.96,0.96
"2024/09/24 23:00",99,0.96,0.96
"2024/09/24 22:00",99,0.96,0.96
"2024/09/24 21:00",99,0.96,0.96
"2024/09/24 20:00",99,1,0.96
"2024/09/24 19:00",99,1.52,1.53
"2024/09/24 18:00",99,1.49,1.5
"2024/09/24 17:00",99,1.48,1.47
"2024/09/24 16:00",99,1.48,1.48
"2024/09/24 15:00",99,1.48,1.48
"2024/09/24 14:00",99,1.48,1.48
"2024/09/24 13:00",99,1.48,1.48
"2024/09/24 12:00",99,1.49,1.48
"2024/09/24 11:00",99,1.48,1.51
"2024/09/24 10:00",99,1.48,1.48
"2024/09/24 09:00",99,1.69,1.49
"2024/09/24 08:00",99,2,1.74
"2024/09/24 07:00",99,0.48,2.01
"2024/09/24 06:00",99.1,2.02,2.02
"2024/09/24 05:00",99.1,2.02,2.01
"2024/09/24 04:00",99.1,2.02,2.01
"2024/09/24 03:00",99.1,0.47,2.02
"2024/09/24 02:00",99.2,2.01,2.02
"2024/09/24 01:00",99.2,2.01,2.01
"2024/09/24 00:00",99.2,2.01,2.01
"2024/09/23 23:00",99.2,2.01,1.99
