"日時","貯水率","流入量","放流量"
"2025/06/27 00:00",100,1.61,1.6
"2025/06/26 23:00",100,1.61,1.61
"2025/06/26 22:00",100,1.61,1.6
"2025/06/26 21:00",100,1.61,1.62
"2025/06/26 20:00",100,1.61,1.62
"2025/06/26 19:00",100,1.61,1.61
"2025/06/26 18:00",100,1.61,1.61
"2025/06/26 17:00",100,1.61,1.6
"2025/06/26 16:00",100,1.61,1.61
"2025/06/26 15:00",100,1.61,1.61
"2025/06/26 14:00",100,1.61,1.62
"2025/06/26 13:00",100,1.61,1.6
"2025/06/26 12:00",100,1.61,1.62
"2025/06/26 11:00",100,1.61,1.61
"2025/06/26 10:00",100,1.61,1.61
"2025/06/26 09:00",100,3.28,1.61
"2025/06/26 08:00",100,1.61,1.61
"2025/06/26 07:00",100,1.61,1.62
"2025/06/26 06:00",100,1.61,1.61
"2025/06/26 05:00",100,1.61,1.61
"2025/06/26 04:00",100,1.61,1.6
"2025/06/26 03:00",100,1.61,1.61
"2025/06/26 02:00",100,1.61,1.61
"2025/06/26 01:00",100,1.6,1.6
"2025/06/26 00:00",100,1.6,1.61
"2025/06/25 23:00",100,1.6,1.6
"2025/06/25 22:00",100,1.6,1.6
"2025/06/25 21:00",100,1.6,1.6
"2025/06/25 20:00",100,1.6,1.6
"2025/06/25 19:00",100,1.6,1.61
"2025/06/25 18:00",100,1.6,1.61
"2025/06/25 17:00",100,1.6,1.6
"2025/06/25 16:00",100,1.6,1.6
"2025/06/25 15:00",100,3.11,1.6
"2025/06/25 14:00",100,1.35,1.33
"2025/06/25 13:00",100,1.35,1.35
"2025/06/25 12:00",100,1.35,1.35
"2025/06/25 11:00",100,1.35,1.34
"2025/06/25 10:00",100,3.01,1.34
"2025/06/25 09:00",100,1.34,1.35
"2025/06/25 08:00",100,1.35,1.34
"2025/06/25 07:00",100,3.01,1.35
"2025/06/25 06:00",100,1.35,1.34
"2025/06/25 05:00",100,1.34,1.34
"2025/06/25 04:00",100,2.51,1.34
"2025/06/25 03:00",100,1.85,1.35
"2025/06/25 02:00",100,1.35,1.33
"2025/06/25 01:00",100,3.01,1.35
"2025/06/25 00:00",100,1.35,1.35
"2025/06/24 23:00",100,1.35,1.35
