"日時","貯水率","流入量","放流量"
"2024/04/01 00:00",74.3,1.82,0.52
"2024/03/31 23:00",74.2,0.52,0.52
"2024/03/31 22:00",74.2,1.82,0.52
"2024/03/31 21:00",74.1,1.82,0.52
"2024/03/31 20:00",74.1,1.82,0.52
"2024/03/31 19:00",74,0.52,0.52
"2024/03/31 18:00",74,1.82,0.52
"2024/03/31 17:00",73.9,0.52,0.52
"2024/03/31 16:00",73.9,0.51,0.52
"2024/03/31 15:00",73.9,1.81,0.51
"2024/03/31 14:00",73.8,0.51,0.51
"2024/03/31 13:00",73.8,1.81,0.51
"2024/03/31 12:00",73.8,0.51,0.51
"2024/03/31 11:00",73.8,1.81,0.51
"2024/03/31 10:00",73.7,0.51,0.51
"2024/03/31 09:00",73.7,1.81,0.51
"2024/03/31 08:00",73.6,1.81,0.51
"2024/03/31 07:00",73.6,1.42,0.51
"2024/03/31 06:00",73.6,0.9,0.51
"2024/03/31 05:00",73.5,1.81,0.51
"2024/03/31 04:00",73.4,0.51,0.51
"2024/03/31 03:00",73.4,1.03,0.51
"2024/03/31 02:00",73.4,1.29,0.51
"2024/03/31 01:00",73.4,0.51,0.51
"2024/03/31 00:00",73.4,1.81,0.51
"2024/03/30 23:00",73.3,1.29,0.51
"2024/03/30 22:00",73.3,1.03,0.51
"2024/03/30 21:00",73.2,1.81,0.51
"2024/03/30 20:00",73.2,1.03,0.51
"2024/03/30 19:00",73.2,1.29,0.51
"2024/03/30 18:00",73.1,1.81,0.51
"2024/03/30 17:00",73,1.81,0.51
"2024/03/30 16:00",73,0.64,0.51
"2024/03/30 15:00",73,1.68,0.51
"2024/03/30 14:00",72.9,1.81,0.51
"2024/03/30 13:00",72.8,1.16,0.51
"2024/03/30 12:00",72.8,1.16,0.51
"2024/03/30 11:00",72.8,1.81,0.51
"2024/03/30 10:00",72.7,0.51,0.51
"2024/03/30 09:00",72.7,1.81,0.51
"2024/03/30 08:00",72.6,1.81,0.51
"2024/03/30 07:00",72.5,0.9,0.51
"2024/03/30 06:00",72.5,1.42,0.51
"2024/03/30 05:00",72.5,1.81,0.51
"2024/03/30 04:00",72.4,1.81,0.51
"2024/03/30 03:00",72.3,1.81,0.51
"2024/03/30 02:00",72.3,0.51,0.51
"2024/03/30 01:00",72.3,1.81,0.51
"2024/03/30 00:00",72.2,1.81,0.51
"2024/03/29 23:00",72.1,1.81,0.51
