"日時","貯水率","流入量","放流量"
"2025/06/26 00:00",100,1.6,1.61
"2025/06/25 23:00",100,1.6,1.6
"2025/06/25 22:00",100,1.6,1.6
"2025/06/25 21:00",100,1.6,1.6
"2025/06/25 20:00",100,1.6,1.6
"2025/06/25 19:00",100,1.6,1.61
"2025/06/25 18:00",100,1.6,1.61
"2025/06/25 17:00",100,1.6,1.6
"2025/06/25 16:00",100,1.6,1.6
"2025/06/25 15:00",100,3.11,1.6
"2025/06/25 14:00",100,1.35,1.33
"2025/06/25 13:00",100,1.35,1.35
"2025/06/25 12:00",100,1.35,1.35
"2025/06/25 11:00",100,1.35,1.34
"2025/06/25 10:00",100,3.01,1.34
"2025/06/25 09:00",100,1.34,1.35
"2025/06/25 08:00",100,1.35,1.34
"2025/06/25 07:00",100,3.01,1.35
"2025/06/25 06:00",100,1.35,1.34
"2025/06/25 05:00",100,1.34,1.34
"2025/06/25 04:00",100,2.51,1.34
"2025/06/25 03:00",100,1.85,1.35
"2025/06/25 02:00",100,1.35,1.33
"2025/06/25 01:00",100,3.01,1.35
"2025/06/25 00:00",100,1.35,1.35
"2025/06/24 23:00",100,1.35,1.35
"2025/06/24 22:00",100,3.01,1.36
"2025/06/24 21:00",100,1.35,1.35
"2025/06/24 20:00",100,3.01,1.35
"2025/06/24 19:00",100,1.34,1.34
"2025/06/24 18:00",100,1.34,1.33
"2025/06/24 17:00",100,3.01,1.35
"2025/06/24 16:00",100,1.34,1.35
"2025/06/24 15:00",100,2.98,1.33
"2025/06/24 14:00",100,1.34,1.32
"2025/06/24 13:00",100,2.98,1.34
"2025/06/24 12:00",100,2.98,1.34
"2025/06/24 11:00",100,1.34,1.35
"2025/06/24 10:00",100,2.98,1.34
"2025/06/24 09:00",100,2.99,1.33
"2025/06/24 08:00",100,2.39,1.34
"2025/06/24 07:00",100,2.44,2.42
"2025/06/24 06:00",100,2.43,2.46
"2025/06/24 05:00",100,2.44,2.43
"2025/06/24 04:00",100,2.44,2.43
"2025/06/24 03:00",100,3.58,2.44
"2025/06/24 02:00",100,2.93,2.42
"2025/06/24 01:00",100,2.44,2.43
"2025/06/24 00:00",100,3.41,2.43
"2025/06/23 23:00",100,3.09,2.43
