"日時","貯水率","流入量","放流量"
"2024/07/16 00:00",97.7,15.06,5.82
"2024/07/15 23:00",97.6,9.51,5.84
"2024/07/15 22:00",97.6,7.67,5.83
"2024/07/15 21:00",97.4,5.83,5.82
"2024/07/15 20:00",97.3,5.81,5.82
"2024/07/15 19:00",97.2,7.66,5.81
"2024/07/15 18:00",97.2,9.49,5.82
"2024/07/15 17:00",97,5.81,5.79
"2024/07/15 16:00",96.8,5.8,5.79
"2024/07/15 15:00",96.8,13.18,5.78
"2024/07/15 14:00",96.6,14.1,5.81
"2024/07/15 13:00",96.4,13.17,5.77
"2024/07/15 12:00",96,8.53,5.75
"2024/07/15 11:00",95.9,7.6,5.77
"2024/07/15 10:00",95.7,5.75,5.75
"2024/07/15 09:00",95.7,2.34,7.8
"2024/07/15 08:00",95.8,7.82,7.82
"2024/07/15 07:00",95.9,7.81,7.8
"2024/07/15 06:00",95.9,7.83,7.83
"2024/07/15 05:00",95.9,7.82,7.83
"2024/07/15 04:00",96,7.84,7.85
"2024/07/15 03:00",96.1,7.84,7.83
"2024/07/15 02:00",96.2,7.85,7.85
"2024/07/15 01:00",96.2,7.85,7.84
"2024/07/15 00:00",96.3,7.84,7.85
"2024/07/14 23:00",96.4,7.86,7.87
"2024/07/14 22:00",96.4,7.86,7.86
"2024/07/14 21:00",96.4,7.87,7.86
"2024/07/14 20:00",96.4,0.79,7.87
"2024/07/14 19:00",96.5,7.86,7.87
"2024/07/14 18:00",96.5,1.57,7.86
"2024/07/14 17:00",96.6,7.87,7.87
"2024/07/14 16:00",96.6,7.87,7.87
"2024/07/14 15:00",96.7,7.88,7.89
"2024/07/14 14:00",96.7,7.89,7.89
"2024/07/14 13:00",96.7,7.88,7.89
"2024/07/14 12:00",96.8,7.89,7.89
"2024/07/14 11:00",96.8,7.89,7.9
"2024/07/14 10:00",96.8,7.1,7.88
"2024/07/14 09:00",96.8,7.9,7.9
"2024/07/14 08:00",96.8,8.58,8.59
"2024/07/14 07:00",96.9,8.59,8.6
"2024/07/14 06:00",96.9,5.16,8.59
"2024/07/14 05:00",97,6.88,8.6
"2024/07/14 04:00",97.1,8.6,8.6
"2024/07/14 03:00",97.2,8.61,8.59
"2024/07/14 02:00",97.2,8.61,8.61
"2024/07/14 01:00",97.2,8.61,8.62
"2024/07/14 00:00",97.2,8.61,8.61
"2024/07/13 23:00",97.3,8.63,8.64
