"日時","貯水率","流入量","放流量"
"2025/04/07 00:00",97.6,0.59,0.59
"2025/04/06 23:00",97.6,0.59,0.59
"2025/04/06 22:00",97.6,0.59,0.59
"2025/04/06 21:00",97.6,0.59,0.59
"2025/04/06 20:00",97.6,0.59,0.59
"2025/04/06 19:00",97.6,0.59,0.59
"2025/04/06 18:00",0,0,0
"2025/04/06 17:00",97.6,0.59,0.59
"2025/04/06 16:00",97.6,0.59,0.59
"2025/04/06 15:00",97.6,0.59,0.59
"2025/04/06 14:00",97.6,0.59,0.59
"2025/04/06 13:00",97.6,0.59,0.58
"2025/04/06 12:00",97.6,0.59,0.59
"2025/04/06 11:00",97.6,0.59,0.59
"2025/04/06 10:00",97.6,0.59,0.59
"2025/04/06 09:00",97.6,0.59,0.59
"2025/04/06 08:00",97.6,0.59,0.59
"2025/04/06 07:00",97.6,0.59,0.59
"2025/04/06 06:00",97.6,0.59,0.59
"2025/04/06 05:00",97.6,0.59,0.59
"2025/04/06 04:00",97.6,0.59,0.58
"2025/04/06 03:00",97.6,0.59,0.59
"2025/04/06 02:00",97.6,0.59,0.59
"2025/04/06 01:00",97.6,0,0.59
"2025/04/06 00:00",97.7,0.59,0.59
"2025/04/05 23:00",97.7,0.59,0.59
"2025/04/05 22:00",97.7,0.59,0.6
"2025/04/05 21:00",97.7,0.59,0.59
"2025/04/05 20:00",97.7,0.59,0.59
"2025/04/05 19:00",97.7,0,0.59
"2025/04/05 18:00",97.8,0.59,0.59
"2025/04/05 17:00",97.8,0.59,0.59
"2025/04/05 16:00",97.8,0.59,0.59
"2025/04/05 15:00",97.8,0.59,0.59
"2025/04/05 14:00",97.8,0.59,0.59
"2025/04/05 13:00",97.8,0.59,0.59
"2025/04/05 12:00",97.8,0.59,0.6
"2025/04/05 11:00",97.8,0.59,0.59
"2025/04/05 10:00",97.8,0.59,0.6
"2025/04/05 09:00",97.8,0.59,0.59
"2025/04/05 08:00",97.8,0.59,0.59
"2025/04/05 07:00",97.8,0.59,0.59
"2025/04/05 06:00",97.8,0.59,0.59
"2025/04/05 05:00",97.8,0.59,0.59
"2025/04/05 04:00",97.8,0.59,0.59
"2025/04/05 03:00",97.8,0.59,0.59
"2025/04/05 02:00",97.8,0.59,0.59
"2025/04/05 01:00",97.8,0.59,0.59
"2025/04/05 00:00",97.8,0.59,0.59
"2025/04/04 23:00",97.8,0.59,0.59
