"日時","貯水率","流入量","放流量"
"2024/06/02 00:00",99.8,1.84,1.86
"2024/06/01 23:00",99.8,1.83,1.82
"2024/06/01 22:00",99.8,0.3,1.84
"2024/06/01 21:00",99.8,1.83,1.84
"2024/06/01 20:00",99.8,1.83,1.84
"2024/06/01 19:00",99.8,1.83,1.84
"2024/06/01 18:00",99.8,1.84,1.82
"2024/06/01 17:00",99.8,0.3,1.83
"2024/06/01 16:00",99.9,1.83,1.82
"2024/06/01 15:00",99.9,1.84,1.84
"2024/06/01 14:00",99.9,1.83,1.83
"2024/06/01 13:00",99.9,1.83,1.82
"2024/06/01 12:00",99.9,1.84,1.84
"2024/06/01 11:00",99.9,0.3,1.84
"2024/06/01 10:00",100,1.83,1.82
"2024/06/01 09:00",100,1.84,1.83
"2024/06/01 08:00",100,1.83,1.83
"2024/06/01 07:00",100,1.83,1.83
"2024/06/01 06:00",100,1.83,1.85
"2024/06/01 05:00",100,1.83,1.83
"2024/06/01 04:00",100,1.84,1.83
"2024/06/01 03:00",100,1.83,1.84
"2024/06/01 02:00",100,1.84,1.82
"2024/06/01 01:00",100,1.84,1.84
"2024/06/01 00:00",100,1.84,1.84
"2024/05/31 23:00",100,1.83,1.82
"2024/05/31 22:00",100,1.83,1.84
"2024/05/31 21:00",100,1.83,1.82
"2024/05/31 20:00",100,1.84,1.83
"2024/05/31 19:00",100,1.83,1.84
"2024/05/31 18:00",100,1.84,1.82
"2024/05/31 17:00",100,0.43,1.84
"2024/05/31 16:00",100,2.1,2.12
"2024/05/31 15:00",100,2.1,2.12
"2024/05/31 14:00",100,2.11,2.12
"2024/05/31 13:00",100,2.22,2.11
"2024/05/31 12:00",100,1.42,3.03
"2024/05/31 11:00",100,3.04,3.05
"2024/05/31 10:00",100,1.42,3.04
"2024/05/31 09:00",100,1.42,3.04
"2024/05/31 08:00",100,3.04,3.05
"2024/05/31 07:00",100,1.42,3.04
"2024/05/31 06:00",100,3.04,3.04
"2024/05/31 05:00",100,1.42,3.04
"2024/05/31 04:00",100,1.42,3.05
"2024/05/31 03:00",100,3.04,3.03
"2024/05/31 02:00",100,1.42,3.05
"2024/05/31 01:00",100,3.04,3.04
"2024/05/31 00:00",100,1.42,3.03
"2024/05/30 23:00",100,1.42,3.05
