"日時","貯水率","流入量","放流量"
"2025/05/11 00:00",100,0.93,0.93
"2025/05/10 23:00",100,0.93,0.93
"2025/05/10 22:00",100,0.93,0.93
"2025/05/10 21:00",100,1.09,0.93
"2025/05/10 20:00",100,2.4,0.93
"2025/05/10 19:00",100,0.93,0.93
"2025/05/10 18:00",100,0.93,0.93
"2025/05/10 17:00",100,0.93,0.93
"2025/05/10 16:00",100,0.93,0.93
"2025/05/10 15:00",100,0.93,0.93
"2025/05/10 14:00",100,2.56,0.93
"2025/05/10 13:00",100,0.93,0.93
"2025/05/10 12:00",100,2.56,0.93
"2025/05/10 11:00",100,0.93,0.93
"2025/05/10 10:00",100,2.56,0.93
"2025/05/10 09:00",100,2.47,0.94
"2025/05/10 08:00",99.9,0.93,0.93
"2025/05/10 07:00",99.9,2.47,0.93
"2025/05/10 06:00",99.8,2.47,0.93
"2025/05/10 05:00",99.8,2.47,0.93
"2025/05/10 04:00",99.7,0.15,0.94
"2025/05/10 03:00",99.8,2.7,3.85
"2025/05/10 02:00",99.8,4.44,4.45
"2025/05/10 01:00",99.8,4.44,4.45
"2025/05/10 00:00",99.8,5.87,4.43
"2025/05/09 23:00",99.8,4.61,4.21
"2025/05/09 22:00",99.6,4.01,0.94
"2025/05/09 21:00",99.4,5.09,0.94
"2025/05/09 20:00",99.3,2.93,0.94
"2025/05/09 19:00",99.1,2.47,0.94
"2025/05/09 18:00",99,0.94,0.94
"2025/05/09 17:00",99,2.26,0.94
"2025/05/09 16:00",98.9,0.6,0.6
"2025/05/09 15:00",98.9,0.6,0.6
"2025/05/09 14:00",98.9,0.6,0.6
"2025/05/09 13:00",98.9,0.6,0.6
"2025/05/09 12:00",98.9,0.6,0.6
"2025/05/09 11:00",98.9,0.6,0.6
"2025/05/09 10:00",98.9,0.6,0.6
"2025/05/09 09:00",98.9,0.6,0.6
"2025/05/09 08:00",98.9,0.6,0.61
"2025/05/09 07:00",98.9,0.6,0.6
"2025/05/09 06:00",98.9,0.6,0.6
"2025/05/09 05:00",98.9,0.6,0.6
"2025/05/09 04:00",98.9,0.6,0.61
"2025/05/09 03:00",98.9,0.6,0.61
"2025/05/09 02:00",98.9,0.6,0.6
"2025/05/09 01:00",98.9,0.6,0.6
"2025/05/09 00:00",98.9,0.6,0.6
"2025/05/08 23:00",98.9,0.6,0.6
