"日時","貯水率","流入量","放流量"
"2025/06/06 00:00",99.4,0.66,0.66
"2025/06/05 23:00",99.4,0.66,0.65
"2025/06/05 22:00",99.4,0.66,0.66
"2025/06/05 21:00",99.4,0.66,0.66
"2025/06/05 20:00",99.4,0.66,0.66
"2025/06/05 19:00",99.4,0.66,0.65
"2025/06/05 18:00",99.4,0.66,0.66
"2025/06/05 17:00",99.4,0.66,0.66
"2025/06/05 16:00",99.4,0.66,0.66
"2025/06/05 15:00",99.4,0.66,0.66
"2025/06/05 14:00",99.4,0.66,0.66
"2025/06/05 13:00",99.4,0.66,0.66
"2025/06/05 12:00",99.4,0.66,0.66
"2025/06/05 11:00",99.4,0.66,0.66
"2025/06/05 10:00",99.4,0.66,0.66
"2025/06/05 09:00",99.4,0.66,0.66
"2025/06/05 08:00",99.4,0.66,0.65
"2025/06/05 07:00",99.4,0.66,0.66
"2025/06/05 06:00",99.4,0.66,0.66
"2025/06/05 05:00",99.4,0.66,0.66
"2025/06/05 04:00",99.4,0.66,0.66
"2025/06/05 03:00",99.4,1.58,0.66
"2025/06/05 02:00",99.4,1.28,0.67
"2025/06/05 01:00",99.3,0.66,0.66
"2025/06/05 00:00",99.3,0.66,0.66
"2025/06/04 23:00",99.3,0.66,0.66
"2025/06/04 22:00",99.3,0.66,0.66
"2025/06/04 21:00",99.3,0.66,0.66
"2025/06/04 20:00",99.3,0.66,0.66
"2025/06/04 19:00",99.3,0.66,0.66
"2025/06/04 18:00",99.3,0.66,0.66
"2025/06/04 17:00",99.3,0.66,0.66
"2025/06/04 16:00",99.3,0.66,0.66
"2025/06/04 15:00",99.3,0.66,0.66
"2025/06/04 14:00",99.3,0.66,0.66
"2025/06/04 13:00",99.3,0.66,0.66
"2025/06/04 12:00",99.3,0.66,0.66
"2025/06/04 11:00",99.3,0.66,0.66
"2025/06/04 10:00",99.3,0.66,0.66
"2025/06/04 09:00",99.3,2.2,0.66
"2025/06/04 08:00",99.3,0.66,0.66
"2025/06/04 07:00",99.3,0.66,0.66
"2025/06/04 06:00",99.3,0.66,0.66
"2025/06/04 05:00",99.3,0.66,0.67
"2025/06/04 04:00",99.3,0.66,0.66
"2025/06/04 03:00",99.3,0.66,0.65
"2025/06/04 02:00",99.3,2.2,0.66
"2025/06/04 01:00",99.2,0.66,0.66
"2025/06/04 00:00",99.2,0.66,0.66
"2025/06/03 23:00",99.2,0.66,0.66
