"日時","貯水率","流入量","放流量"
"2024/06/23 00:00",99.4,4.25,5.78
"2024/06/22 23:00",99.4,5.79,5.78
"2024/06/22 22:00",99.4,7.32,5.78
"2024/06/22 21:00",99.4,6.14,5.78
"2024/06/22 20:00",99.3,7.09,2.96
"2024/06/22 19:00",99.1,6.63,2.93
"2024/06/22 18:00",98.9,7.4,2.93
"2024/06/22 17:00",98.6,7.54,2.93
"2024/06/22 16:00",98.4,7.39,2.93
"2024/06/22 15:00",98.2,7.69,2.94
"2024/06/22 14:00",97.9,7.54,2.94
"2024/06/22 13:00",97.6,6,2.92
"2024/06/22 12:00",97.5,4.47,2.94
"2024/06/22 11:00",97.4,4.47,2.93
"2024/06/22 10:00",97.3,2.93,2.93
"2024/06/22 09:00",97.3,2.93,2.93
"2024/06/22 08:00",97.3,2.93,2.93
"2024/06/22 07:00",97.3,2.93,2.94
"2024/06/22 06:00",97.3,4.08,2.92
"2024/06/22 05:00",97.3,2.98,4.52
"2024/06/22 04:00",97.4,4.52,4.52
"2024/06/22 03:00",97.4,2.98,4.52
"2024/06/22 02:00",97.5,4.52,4.52
"2024/06/22 01:00",97.5,4.52,4.53
"2024/06/22 00:00",97.5,2.92,4.52
"2024/06/21 23:00",97.6,4.13,3.73
"2024/06/21 22:00",98,5.56,14.77
"2024/06/21 21:00",98.6,5.09,14.87
"2024/06/21 20:00",99.1,5.74,14.95
"2024/06/21 19:00",99.7,5.49,14.71
"2024/06/21 18:00",100,5.03,14.79
"2024/06/21 17:00",100,4.35,14.58
"2024/06/21 16:00",100,4.41,14.65
"2024/06/21 15:00",100,5.77,14.72
"2024/06/21 14:00",100,4.84,14.78
"2024/06/21 13:00",100,4.91,14.84
"2024/06/21 12:00",100,6.95,14.93
"2024/06/21 11:00",100,9.21,14.97
"2024/06/21 10:00",100,8.97,5.81
"2024/06/21 09:00",100,9.15,5.82
"2024/06/21 08:00",100,11.36,5.88
"2024/06/21 07:00",100,15.33,5.88
"2024/06/21 06:00",100,17.86,5.87
"2024/06/21 05:00",100,17.95,5
"2024/06/21 04:00",100,11.36,2.41
"2024/06/21 03:00",100,5.66,2.41
"2024/06/21 02:00",100,2.41,2.43
"2024/06/21 01:00",100,2.41,2.4
"2024/06/21 00:00",100,2.41,2.43
"2024/06/20 23:00",100,2.41,2.42
