"日時","貯水率","流入量","放流量"
"2024/08/05 00:00",100,1.46,1.47
"2024/08/04 23:00",100,1.46,1.47
"2024/08/04 22:00",100,1.46,1.47
"2024/08/04 21:00",100,1.46,1.46
"2024/08/04 20:00",100,1.46,1.46
"2024/08/04 19:00",100,1.46,1.46
"2024/08/04 18:00",100,1.46,1.45
"2024/08/04 17:00",100,1.46,1.45
"2024/08/04 16:00",100,1.46,1.45
"2024/08/04 15:00",100,1.46,1.46
"2024/08/04 14:00",100,1.46,1.46
"2024/08/04 13:00",100,1.46,1.46
"2024/08/04 12:00",100,1.46,1.47
"2024/08/04 11:00",100,1.46,1.47
"2024/08/04 10:00",100,1.46,1.46
"2024/08/04 09:00",100,1.46,1.46
"2024/08/04 08:00",100,1.46,1.46
"2024/08/04 07:00",100,1.46,1.47
"2024/08/04 06:00",100,1.46,1.47
"2024/08/04 05:00",100,1.46,1.46
"2024/08/04 04:00",100,1.46,1.46
"2024/08/04 03:00",100,1.46,1.46
"2024/08/04 02:00",100,1.46,1.47
"2024/08/04 01:00",100,1.46,1.47
"2024/08/04 00:00",100,1.46,1.47
"2024/08/03 23:00",100,1.46,1.46
"2024/08/03 22:00",100,1.53,1.46
"2024/08/03 21:00",100,1.59,1.57
"2024/08/03 20:00",100,0,1.6
"2024/08/03 19:00",100,1.59,1.58
"2024/08/03 18:00",100,1.59,1.6
"2024/08/03 17:00",100,1.59,1.6
"2024/08/03 16:00",100,1.59,1.59
"2024/08/03 15:00",100,1.59,1.59
"2024/08/03 14:00",100,1.59,1.58
"2024/08/03 13:00",100,1.59,1.59
"2024/08/03 12:00",100,1.59,1.58
"2024/08/03 11:00",100,1.59,1.58
"2024/08/03 10:00",100,1.59,1.59
"2024/08/03 09:00",100,1.72,1.59
"2024/08/03 08:00",100,0.11,1.74
"2024/08/03 07:00",100,1.73,1.73
"2024/08/03 06:00",100,1.73,1.75
"2024/08/03 05:00",100,1.73,1.74
"2024/08/03 04:00",100,1.73,1.73
"2024/08/03 03:00",100,1.73,1.72
"2024/08/03 02:00",100,1.74,1.72
"2024/08/03 01:00",100,1.73,1.76
"2024/08/03 00:00",100,1.73,1.73
"2024/08/02 23:00",100,1.73,1.71
