"日時","貯水率","流入量","放流量"
"2025/07/29 00:00",86.4,0.8,0.8
"2025/07/28 23:00",86.4,0.8,0.8
"2025/07/28 22:00",86.4,0.8,0.8
"2025/07/28 21:00",86.4,0.8,0.8
"2025/07/28 20:00",86.4,0.8,0.8
"2025/07/28 19:00",86.4,0.87,0.8
"2025/07/28 18:00",86.4,0.32,1.73
"2025/07/28 17:00",86.4,0.26,1.7
"2025/07/28 16:00",86.5,0.26,1.68
"2025/07/28 15:00",86.6,0.26,1.7
"2025/07/28 14:00",86.7,1.7,1.7
"2025/07/28 13:00",86.7,0.26,1.69
"2025/07/28 12:00",86.8,0.26,1.71
"2025/07/28 11:00",86.8,0.26,1.69
"2025/07/28 10:00",86.9,0.55,1.7
"2025/07/28 09:00",86.9,1.41,1.69
"2025/07/28 08:00",87,0.32,1.69
"2025/07/28 07:00",87.1,0.32,1.75
"2025/07/28 06:00",87.1,0.31,1.75
"2025/07/28 05:00",87.2,1.75,1.76
"2025/07/28 04:00",87.2,0.24,1.74
"2025/07/28 03:00",87.3,0.81,0.81
"2025/07/28 02:00",87.3,0.81,0.81
"2025/07/28 01:00",87.3,0.81,0.81
"2025/07/28 00:00",87.3,0.81,0.81
"2025/07/27 23:00",87.3,0.81,0.81
"2025/07/27 22:00",87.3,0,0.8
"2025/07/27 21:00",87.4,0.81,0.81
"2025/07/27 20:00",87.4,0.88,0.81
"2025/07/27 19:00",87.4,0.31,1.74
"2025/07/27 18:00",87.4,1.61,1.74
"2025/07/27 17:00",87.4,0.46,1.75
"2025/07/27 16:00",87.5,0.31,1.76
"2025/07/27 15:00",87.6,0.32,1.76
"2025/07/27 14:00",87.7,0.31,1.75
"2025/07/27 13:00",87.7,1.75,1.74
"2025/07/27 12:00",87.7,0.32,1.76
"2025/07/27 11:00",87.8,0.32,1.75
"2025/07/27 10:00",87.9,0.32,1.76
"2025/07/27 09:00",88,1.75,1.75
"2025/07/27 08:00",88,0.31,1.76
"2025/07/27 07:00",88,0.32,1.75
"2025/07/27 06:00",88.1,0.32,1.75
"2025/07/27 05:00",88.2,1.46,1.74
"2025/07/27 04:00",88.2,0.53,1.75
"2025/07/27 03:00",88.3,0.81,0.81
"2025/07/27 02:00",88.3,0.81,0.81
"2025/07/27 01:00",88.3,0.81,0.82
"2025/07/27 00:00",88.3,0.81,0.81
"2025/07/26 23:00",88.3,0.81,0.81
