"日時","貯水率","流入量","放流量"
"2025/07/02 00:00",100,1.08,1.08
"2025/07/01 23:00",100,1.08,1.08
"2025/07/01 22:00",100,1.08,1.08
"2025/07/01 21:00",100,1.08,1.08
"2025/07/01 20:00",100,1.12,1.08
"2025/07/01 19:00",100,0.96,1.6
"2025/07/01 18:00",100,0.64,1.59
"2025/07/01 17:00",100,1.6,1.6
"2025/07/01 16:00",100,0,1.59
"2025/07/01 15:00",100,1.6,1.6
"2025/07/01 14:00",100,0,1.61
"2025/07/01 13:00",100,1.6,1.6
"2025/07/01 12:00",100,1.6,1.61
"2025/07/01 11:00",100,0,1.6
"2025/07/01 10:00",100,1.6,1.6
"2025/07/01 09:00",100,1.6,1.61
"2025/07/01 08:00",100,0,1.62
"2025/07/01 07:00",100,1.6,1.61
"2025/07/01 06:00",100,0.96,1.6
"2025/07/01 05:00",100,0.64,1.59
"2025/07/01 04:00",100,1.56,1.6
"2025/07/01 03:00",100,1.08,1.08
"2025/07/01 02:00",100,1.08,1.08
"2025/07/01 01:00",100,1.08,1.08
"2025/07/01 00:00",100,1.08,1.08
"2025/06/30 23:00",100,1.08,1.08
"2025/06/30 22:00",100,1.08,1.07
"2025/06/30 21:00",100,1.08,1.08
"2025/06/30 20:00",100,1.12,1.07
"2025/06/30 19:00",100,0,1.61
"2025/06/30 18:00",100,1.6,1.59
"2025/06/30 17:00",100,1.6,1.59
"2025/06/30 16:00",100,0,1.62
"2025/06/30 15:00",100,1.6,1.6
"2025/06/30 14:00",100,1.12,1.6
"2025/06/30 13:00",100,0.48,1.61
"2025/06/30 12:00",100,1.6,1.59
"2025/06/30 11:00",100,1.6,1.59
"2025/06/30 10:00",100,0,1.6
"2025/06/30 09:00",100,1.6,1.61
"2025/06/30 08:00",100,1.6,1.59
"2025/06/30 07:00",100,0,1.61
"2025/06/30 06:00",100,1.6,1.59
"2025/06/30 05:00",100,1.6,1.6
"2025/06/30 04:00",100,1.56,1.61
"2025/06/30 03:00",100,1.08,1.08
"2025/06/30 02:00",100,1.08,1.08
"2025/06/30 01:00",100,1.08,1.08
"2025/06/30 00:00",100,1.08,1.08
"2025/06/29 23:00",100,1.08,1.08
